title,composedby,key,timesig,bars,chordprog,key_tonic_pc,key_mode,key_estimada,key_score,num_tokens,funcional_prog
One Finger Snap,Herbie Hancock,C,4 4,20,"NC | NC | NC NC NC NC NC NC NC AM13#11 | AM13#11 |
Bbm7/Eb | Eb7 | Bbm7/Eb | Eb7 |
Ebm7 | Ab7 | Ebm7 | Ab7 |
Gm7b5 | C7b9 | Fm7b5 | Bb7b9 |
EbM7 | EbM7 | Dm7b5 | G7b9 |",1,major,Db,15.100000000000003,18,bVI bVI vi II7 vi II7 ii V7 ii V7 #ivø V/III iiiø V/II II II biiø #IV7
Iris,Wayne Shorter,C,3 4,16,"Fm11 | Fm11 | EM7#11 | GbM7#11 |
Bb7#5 | Db7#11 | AbM7#5 | AbM7#5 |
Cm7 | Cm7 | Db7#11 | Cm7 |
Db7#11 | Dbm+ | Db7#11 | Db7#11 |",3,major,Eb,17.500000000000004,16,ii ii bII bIII V7 bVII7 IV IV vi vi Vsub/VI vi bVII7 bvii bVII7 bVII7
Moonlight in Vermont,John Blackburn and Karl Suessdorf,Eb,4 4,28,"Eb6 Cm7 | Fm7 E7#9 | Eb6 Cm7 | Db9 |
Fm7 Bb7sus4 | Eb6 Eb6 Fm7 E7 | Eb6 Cm7 | Fm7 E7#9 |
Eb6 Cm7 | Db9 | Fm7 Bb7sus4 | EbM7 |
Am7 D7 | GM7 G#o7 | Am7 Ab9 | GM7 |
Bbm7 Eb7 | AbM7 Ao7 | Bbm7 Eb7 | AbM7 Bb7alt |
Eb6 Cm7 | Fm7 E7#9 | Eb6 Cm7 | Db9 |
Fm7 Bb7sus4 | EbM7 | Cm7 Cm7 F9 E9 | EbM7 |",3,major,Eb,70.39999999999999,53,I vi ii bII7 I vi bVII7 ii V7 I I ii bII7 I vi ii bII7 I vi bVII7 ii V7 I #iv V/III III ivo #iv Vsub/III III v V/IV IV #ivo v V/IV IV V7 I vi ii bII7 I vi bVII7 ii V7 I vi vi II7 bII7 I
Minority,Gigi Gryce,Ab,4 4,16,"FmM9 | Dm7b5 | Gm9b5 | C13b9 |
FmM9 | Dm7b5 | Cm9b5 | F13b9 |
Bbm7 | Eb7 | Abm7 | Db7 |
Gbm7 | B7 | Gm7 | C7alt |",3,major,Eb,17.0,16,ii viiø iii V/II ii viiø vi V/V v V/IV iv bVII7 biii bVI7 iii VI7
Oop Bop Sh-Bam,Dizzy Gillespie and Walter G. Fuller,Bb,4 4,30,"Bb Gm7 | Cm7 B7b5 | Bb G7b9 | C7+ F7 |
Bb Gm7 | Cm7 C#o7 | Bb Dbo7 | B7 Bb |
Bb Gm7 | Cm7 B7b5 | Bb G7b9 | C7+ F7 |
Bb Gm7 | Cm7 C#o7 | Bb Dbo7 | B7 Bb |
Fm7 | E7 | Eb9 Gm7 | Bb E7 Eb Abm7 |
Gm7 | F#7 F#7 F#7 C#o7 | Cm7 F7 | Cm7b5 F9 F9 F9 |
Bb Gm7 | Cm7 B7b5 | BbM7 G7b5 | C7+ F7 |
Bb Bb C#o7 B7 | Bb Bb Cm7 B7 |",10,major,Bb,85.19999999999997,67,I vi ii bII7 I V/II V/V V7 I vi ii biiio I biiio bII7 I I vi ii bII7 I V/II V/V V7 I vi ii biiio I biiio bII7 I v Vsub/IV IV7 vi I Vsub/IV IV bvii vi bVI7 bVI7 bVI7 biiio ii V7 iiø V7 V7 V7 I vi ii bII7 I V/II V/V V7 I I biiio bII7 I I ii bII7
Laird Baird,Charlie Parker,Bb,4 4,12,"Bb | Am7 D7 | Gm7 C7 | Fm7 Bb7 |
Eb7 | Ebm7 | Dm7 | Dbm7 Gb7 |
Cm7 | F7 | Bb G7 | Cm7 F7 |",10,major,Bb,20.1,18,I vii V/VI vi V/V v V/IV IV7 iv iii biii bVI7 ii V7 I V/II ii V7
"Hello, Dolly!",Jerry Herman,Bb,4 4,68,"BbM7 | BbM7 | Gm7 | Gm7 |
BbM7 | Dbo7 | Cm7 | F7 |
Cm7 | Cm7 | Cm+ | Cm |
Cm7 | F7 | Bb6 Bbo7 | F7 |
BbM7 | BbM7 | Gm7 | Gm7 |
Fm7 Bb7 | Fm7 Bb7 | EbM7 | Cm7 D7 |
Gm7 | Dm7 | Gm7 | Dm7 |
C7 | Cm7 F7 | Bb6 Bo7 | Cm7 F7 |
BbM7 | BbM7 | Gm7 | Gm7 |
BbM7 | Dbo7 | Cm7 | F7 |
Cm7 | Cm7 | Cm+ | Cm |
Cm7 | F7 | Bb6 Bbo7 | F7 |
BbM7 | BbM7 | Gm7 | Gm7 |
Fm7 Bb7 | Fm7 Bb7 | EbM7 | Cm7 D7 |
Gm7 | Dm7 | Gm7 | Dm7 |
C7 | Cm7 F7 | C7 | Cm7 F7 |
C7 | Cm7 F7 | BbM7 | F7 |",10,major,Bb,132.40000000000003,82,I I vi vi I biiio ii V7 ii ii ii ii ii V7 I io V7 I I vi vi v I7 v V/IV IV ii V/VI vi iii vi iii II7 ii V7 I biio ii V7 I I vi vi I biiio ii V7 ii ii ii ii ii V7 I io V7 I I vi vi v I7 v V/IV IV ii V/VI vi iii vi iii II7 ii V7 II7 ii V7 II7 ii V7 I V7
The Kicker,Joe Henderson,Bb,4 4,24,"Bb7 | Bb7 | Bb7 | Bb7 |
Ebm7 | Ab7 | DbM7 | GbM7 |
C7#9 | F7#9 | Bbm7 | F7 |
Bb7 | Bb7 | Bb7 | Bb7 |
Ebm7 | Ab7 | DbM7 | GbM7 |
C7#9 | F7#9 | Bbm7 | F7 |",10,minor,Bbm,28.6,24,I7 I7 I7 V/IV iv V/III III VI V/V V7 i V7 I7 I7 I7 V/IV iv V/III III VI V/V V7 i V7
More I Cannot Wish You,Frank Loesser,C,6 8,64,"CM7 Dm7/G | CM7 Dm7/G | CM7 Dm7/G | CM7 C7 |
FM7 | G7 | Em7 A7b9 | Dm7 G7 |
CM7 Dm7/G | CM7 Dm7/G | CM7 Dm7/G | Bm7 E7 |
Am7 FM7 | Em7 | Dm7 | G7 |
CM7 Dm7/G | CM7 Dm7/G | CM7 Dm7/G | CM7 C7 |
FM7 | G7 | Em7 A7b9 | Dm7 G7 |
CM7 Dm7/G | CM7 Dm7/G | CM7 Dm7/G | Bm7 E7 |
Am7 FM7 | Em7 Em7 Em7 Dm7 Dm7 G7 | C6 C6 Dm7/G | C6 |
Am7 | D7 | GM7 | Bm7 E7 |
Am7 | D7 | G6 | Bm7 E7 |
Am7 | D7 | GM7 | Em7 A7b9 |
Dm7 | Gm7 | Dm7 | G7 |
CM7 Dm7/G | CM7 Dm7/G | CM7 Dm7/G | CM7 C7 |
FM7 | G7 | Em7 A7b9 | Dm7 G7 |
CM7 Dm7/G | CM7 Dm7/G | CM7 Dm7/G | Bm7 E7 |
Am7 FM7 | Em7 Em7 Em7 Dm7 Dm7 G7 | C6 | Dm7 Dm7/G |",0,major,C,190.60000000000008,113,I ii I ii I ii I V/IV IV V7 iii V/II ii V7 I ii I ii I ii vii V/VI vi IV iii ii V7 I ii I ii I ii I V/IV IV V7 iii V/II ii V7 I ii I ii I ii vii V/VI vi IV iii iii iii ii ii V7 I I ii I vi V/V V vii V/VI vi V/V V vii V/VI vi V/V V iii V/II ii v ii V7 I ii I ii I ii I V/IV IV V7 iii V/II ii V7 I ii I ii I ii vii V/VI vi IV iii iii iii ii ii V7 I ii ii
King Porter Stomp,Jelly Roll Morton,Eb,4 4,32,"Ab Abm | Eb Do7 Eb Eb7 | Ab Abm | Eb Do7 Eb Eb7 |
Ab Abm | D Eb C9 C9 | F9 | F9+ F9 Bb7 Bb7 |
Ab Abm | Eb Do7 Eb Eb7 | Ab Abm | Eb Do7 Eb Eb7 |
Ab Abm | D Eb C9 C9 | F7 Fm7/Bb | Eb Eb7 Eb7 Eb7 |
Ab Ebo7 | Eb7 | Ab Ebo7 | Eb7 |
Ab Ebo7 | Eb7 Eb7 Db9 C9 | F9 F7b9 Fm7/Bb Fm7/Bb | Eb Eb7 |
Ab Abm | Eb Do7 Eb Eb7 | Ab Abm | Eb Do7 Eb Eb7 |
Ab Abm | D Eb C9 C9 | F9 F7b9 Fm7/Bb Fm7/Bb | Eb |",3,major,Eb,97.90000000000002,88,IV iv I viio I V/IV IV iv I viio I V/IV IV iv VII I VI7 V/II II7 II7 V/V V7 V7 IV iv I viio I V/IV IV iv I viio I V/IV IV iv VII I VI7 V/II II7 ii I I7 I7 V/IV IV io V/IV IV io V/IV IV io I7 I7 Vsub/VI V/II II7 II7 ii ii I V/IV IV iv I viio I V/IV IV iv I viio I V/IV IV iv VII I VI7 V/II II7 II7 ii ii I
Ko Ko,Charlie Parker,Bb,4 4,32,"Bb | Bb | Fm7 | Bb7 |
Eb | Eb | Ab7 | Ab7 |
Bb | Bb | C7 | C7 |
Cm7 | G7 | Cm7 | F7 |
Bb | Bb | Fm7 | Bb7 |
Eb | Eb | Ab7 | Ab7 |
Bb | Bb | C7 | C7 |
Cm7 | F7 | Bb | Bb |",10,major,Bb,42.8,32,I I v V/IV IV IV bVII7 bVII7 I I II7 II7 ii V/II ii V7 I I v V/IV IV IV bVII7 bVII7 I I II7 II7 ii V7 I I
Let's Cool One,Thelonious Monk,F,4 4,32,"FM7 | Gm7 Gm7 Gm7 C7 | FM7 E7 Eb7 A7 | D7b9#11 |
G7 | C7 | F6 | Gm7 C7 |
FM7 | Gm7 Gm7 Gm7 C7 | FM7 E7 Eb7 A7 | D7b9#11 |
G7 | C7 | F6 | F6 |
Cm7 | F7 | BbM7 | BbM7 |
G11 | G11 | C7sus4 | C7sus4 |
FM7 | Gm7 Gm7 Gm7 C7 | FM7 E7 Eb7 A7 | D7b9#11 |
G7 | C7 | F6 | F6 |",5,major,F,71.30000000000001,51,I ii ii ii V7 I VII7 bVII7 V/VI V/II V/V V7 I ii V7 I ii ii ii V7 I VII7 bVII7 V/VI V/II V/V V7 I I v V/IV IV IV II7 V/V V7 V7 I ii ii ii V7 I VII7 bVII7 V/VI V/II V/V V7 I I
Intermezzo,Robert Henning and Heinz Provost,Eb,4 4,30,"B7 | Eb | Gm | Eb |
Abm6 Abm6 Abm6 Ab | Fm7 | Ab | Ab |
Abm6 | Dm7b5 | E7 | Bb7 Fm7 |
Bb7 | Fm7 Bb7+ | Eb | Eb |
B7 | Eb | Gm | Eb |
Abm6 Abm6 Abm6 Ab | Fm7 | Ab | D7 |
Eb | Eb Gbo7 | Fm7 | Bb7 |
Eb Ab | Eb Bb7+ |",3,major,Eb,62.099999999999994,41,bVI7 I iii I iv iv iv IV ii IV IV iv viiø bII7 V7 ii V7 ii V7 I I bVI7 I iii I iv iv iv IV ii IV VII7 I I biiio ii V7 I IV I V7
The Last Time I Saw Paris,Jerome Kern,Ab,4 4,32,"Ab6 | Ab6 | Ab6 | Eb7 |
Bbm7 | Eb7 | Bbm7 Eb7 | Ab6 Eb7 |
Ab6 | Ab6 | Ab6 | Eb7 |
Bbm7 | Eb7 | Bbm7 Eb7 | Ab6 Eb7 |
Bb7 | EbM7 | Bb7 | EbM7 |
C7 | FM7 | Bbm7 | Eb7 |
Ab6 | Ab6 | Ab6 | Eb7 |
Bbm7 Eb7 | Cm7b5 F7 | Bbm7 Eb7 | Ab6 |",8,major,Ab,66.69999999999999,39,I I I V7 ii V7 ii V7 I V7 I I I V7 ii V7 ii V7 I V7 V/V V V/V V V/VI VI ii V7 I I I V7 ii V7 iiiø V/II ii V7 I
Moonlight Becomes You,Ned Washington and Hoagy Carmichael,F,4 4,32,"FM7 F#o7 | Gm7 C7 | FM7 Abo7 | Gm7 C7b9 |
Am7b5 D7b9 | Gm7 C7 | A7 D7 | G7 C7 |
FM7 F#o7 | Gm7 C7 | FM7 Abo7 | Gm7 C7b9 |
Am7b5 D7b9 | Gm7 C7 | F7 Eb7 | FM7 F7 |
BbM7 | Cm7 | F7 | BbM7 |
Em7b5 A7b9 | Dm7 | G7 | Gm7 C7 |
FM7 F#o7 | Gm7 C7 | FM7 Abo7 | Gm7 C7b9 |
Am7b5 D7b9 | Gm7 C7 | FM7 | Gm7 C7 |",5,major,F,76.3,57,I biio ii V7 I biiio ii V7 iiiø V/II ii V7 V/VI V/II V/V V7 I biio ii V7 I biiio ii V7 iiiø V/II ii V7 I7 bVII7 I V/IV IV v V/IV IV viiø V/VI vi II7 ii V7 I biio ii V7 I biiio ii V7 iiiø V/II ii V7 I ii V7
I'm All Smiles,Michael Leonard,C,3 4,78,"D7alt | Gm7 | Db7alt | CM7 |
Am7 | D7 | Bm7 | E7 |
C#m7 | F#7 | BM7 | G#m7 |
Em7 | A7 | DM7 | DM7 |
D7alt | Gm7 | Db7alt | CM7 |
Am7 | D7 | Bm7 | E7 |
C#m7 | F#7 | BM7 | G#m7 |
Em7 | A7 | DM7 | DM7 |
GbM7 | Ab7 | Fm7 | Bb7 |
Gm7b5 | C7b9 | FM7 | BbM7 |
Em7 | A7 | DM7 | GM7 |
F#m7 | B7#11 | Bb7 | A7 |
D7alt | Gm7 | Db7alt | CM7 |
Am7 | D7 | Bm7 | E7 |
C#m7 | F#7 | BM7 | G#m7 |
Em7 | A7 | DM7 | D7 |
GM7 | E7/G# | A7 | A7/G |
F#m7 | Bm7 | Em7 | Em7/A |
F#7 | Bm7 | Em7 | Em7/A A7 |
DM7 | DM7 |",2,major,D,82.19999999999999,79,V/IV iv VII7 bVII v I7 vi II7 vii V/VI VI #iv ii V7 I I V/IV iv VII7 bVII v I7 vi II7 vii V/VI VI #iv ii V7 I I III #IV7 biii bVI7 ivø bVII7 bIII bVI ii V7 I IV iii VI7 Vsub/V V7 V/IV iv VII7 bVII v I7 vi II7 vii V/VI VI #iv ii V7 I V/IV IV V/V V7 V7 iii vi ii ii V/VI vi ii ii V7 I I
Never On Sunday,Manos Hadjidakis,Eb,4 4,49,"Fm Bb7 | Fm Bb7 | Eb | NC |
Fm Bb7 | Fm Bb7 | Eb | NC |
Fm Bb7 | Fm Bb7 | Eb | NC |
Fm Bb7 | Fm Bb7 | Eb | Eb Eb Co7 Bb7 |
Eb6 | Eb6 | Bb7 | Bb7 |
Fm7 | Fm7 Bb7 | Eb6 | Eb Eb Co7 Bb7 |
Eb6 | Eb6 | Bb7 | Bb7 |
Fm7 | Fm7 Bb7 | Eb6 | NC |
Fm Bb7 | Fm Bb7 | Eb | NC |
Fm Bb7 | Fm Bb7 | Eb | NC |
Fm Bb7 | Fm Bb7 | Eb | NC |
Fm Bb7 | Fm Bb7 | Eb | Eb |
NC |",3,major,Eb,126.80000000000001,65,ii V7 ii V7 I ii V7 ii V7 I ii V7 ii V7 I ii V7 ii V7 I I I vio V7 I I V7 V7 ii ii V7 I I I vio V7 I I V7 V7 ii ii V7 I ii V7 ii V7 I ii V7 ii V7 I ii V7 ii V7 I ii V7 ii V7 I I
On A Slow Boat To China,Frank Loesser,Bb,4 4,32,"BbM7 | G7b9 | Cm7 | C#o7 |
BbM7 | D7b9 | Eb6 | Dm7b5 G7alt |
Cm7 | C#o7 | BbM7 | G7 |
C7 | Gm7 C7 | Cm7 | F7 |
BbM7 | G7b9 | Cm7 | C#o7 |
BbM7 | D7b9 | Eb6 | Dm7b5 G7alt |
Cm7 | Ab7 | BbM7 Ab7 | G7 |
C7 | Cm7 F7 | BbM7 Gm7 | Cm7 F7 |",10,major,Bb,47.79999999999998,39,I V/II ii biiio I III7 IV iiiø V/II ii biiio I V/II II7 vi II7 ii V7 I V/II ii biiio I III7 IV iiiø V/II ii bVII7 I Vsub/VI V/II II7 ii V7 I vi ii V7
Misty,Erroll Garner,Eb,4 4,32,"EbM7 | Bbm7 Eb7 | AbM7 | Abm7 Db7 |
EbM7 Cm7 | Fm7 Bb7 | Gm7 C7 | Fm7 Bb7 |
EbM7 | Bbm7 Eb7 | AbM7 | Abm7 Db7 |
EbM7 Cm7 | Fm7 Bb7 | EbM7 Abm | EbM7 |
Bbm7 | Eb7 | AbM7 | AbM7 |
Am7 | D7 F7 | Bb7 C7 | F7 Bb7 |
EbM7 | Bbm7 Eb7 | AbM7 | Abm7 Db7 |
EbM7 Cm7 | Fm7 Bb7 | EbM7 | Bb7sus4 |",3,major,Eb,65.69999999999997,50,I v V/IV IV iv bVII7 I vi ii V7 iii V/II ii V7 I v V/IV IV iv bVII7 I vi ii V7 I iv I v V/IV IV IV #iv VII7 V/V V7 V/II V/V V7 I v V/IV IV iv bVII7 I vi ii V7 I V7
Manteca,"Dizzy Gillespie, Walter G. Fuller, and Chano Pozo",Eb,4 4,40,"Bb G7alt | Cm7 F7 | Dm7 G7alt | Cm7 F7 |
Bb7 Bb7/D | Eb6 Eo7 | Bb/F G7alt | Cm7 Cm7 F7 F7alt |
Bb G7alt | Cm7 F7 | Dm7 G7alt | Cm7 F7 |
Bb7 Bb7/D | Eb6 Eo7 | Bb/F G7alt | Cm7 Cm7 F7 F7alt |
Abm7 | Db7 | GbM7 | GbM7 |
Bb7#11 | Eb7#11 | AbM7 | AbM7 |
Abm7 | Db7alt | GbM7 | F#m7 B7 |
Fm7 | Bb7alt | Ebm7 | F#m7 B7 |
Bb G7alt | Cm7 F7 | Dm7 G7alt | Cm7 F7 |
Bb7 Bb7/D | Eb6 Eo7 | Bb/F G7alt | Cm7 F7alt |",10,major,Bb,77.19999999999999,70,I V/II ii V7 iii V/II ii V7 I7 V/IV IV #ivo I V/II ii ii V7 V7 I V/II ii V7 iii V/II ii V7 I7 V/IV IV #ivo I V/II ii ii V7 V7 bvii bIII7 bVI bVI V/IV IV7 bVII bVII bvii bIII7 bVI bvi bII7 v V/IV iv bvi bII7 I V/II ii V7 iii V/II ii V7 I7 V/IV IV #ivo I V/II ii V7
Jumpin' with Symphony Sid,Lester Young and Buddy Feyne,Bb,4 4,12,"Bb7 | Bb7 | Bb7 | Bb7 |
Eb7 | Eb7 | Bb7 | Dm7 G7 |
Cm7 | F7 | Bb7 | Bb7 |",3,major,Eb,18.6,13,V7 V7 V7 V7 I7 I7 V7 vii V/VI vi V/V V7 V7
